




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (18)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
SAM domain binding (GO:0032093)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Pyrin domain binding (GO:0032090)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor (GO:0016899)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, cytochrome as acceptor (GO:0016898)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA exonuclease activity, producing 5'-phosphomonoesters (GO:0016896)	39	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA exonuclease activity, producing 5'-phosphomonoesters (GO:0016895)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA endonuclease activity producing 3'-phosphomonoesters, hydrolytic mechanism (GO:0016892)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA endonuclease activity producing 5'-phosphomonoesters, hydrolytic mechanism (GO:0016891)	39	0	.03	-	 < 0.01	1.00E00	1.00E00
creatine:sodium symporter activity (GO:0005309)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
creatine transmembrane transporter activity (GO:0005308)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
choline:sodium symporter activity (GO:0005307)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-valine transmembrane transporter activity (GO:0005304)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
citrate synthase activity (GO:0036440)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-tyrosine transmembrane transporter activity (GO:0005302)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NACHT domain binding (GO:0032089)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA endonuclease activity, producing 3'-phosphomonoesters (GO:0016889)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA endonuclease activity, producing 5'-phosphomonoesters (GO:0016888)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
ATP hydrolysis activity (GO:0016887)	400	0	.35	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming phosphoric ester bonds (GO:0016886)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-carbon bonds (GO:0016885)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
carbon-nitrogen ligase activity, with glutamine as amido-N-donor (GO:0016884)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclo-ligase activity (GO:0016882)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
acid-amino acid ligase activity (GO:0016881)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
acid-ammonia (or amide) ligase activity (GO:0016880)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
K48-linked polyubiquitin modification-dependent protein binding (GO:0036435)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
dCMP kinase activity (GO:0036431)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
CMP kinase activity (GO:0036430)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
acid-thiol ligase activity (GO:0016878)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-sulfur bonds (GO:0016877)	40	0	.03	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-oxygen bonds (GO:0016875)	41	0	.04	-	 < 0.01	1.00E00	1.00E00
intramolecular lyase activity (GO:0016872)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H2AS1 kinase activity (GO:0044024)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3S28 kinase activity (GO:0044022)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H4R3 methyltransferase activity (GO:0044020)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
L-phosphoserine phosphatase activity (GO:0036424)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial transcription factor activity (GO:0034246)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
intramolecular aminotransferase activity (GO:0016869)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intramolecular phosphotransferase activity (GO:0016868)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
structural constituent of presynaptic actin cytoskeleton (GO:0098699)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intramolecular transferase activity (GO:0016866)	29	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3K27 acetyltransferase activity (GO:0044017)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, transposing S-S bonds (GO:0016864)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H3K4 acetyltransferase activity (GO:0044016)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels (GO:0098695)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, transposing C=C bonds (GO:0016863)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, interconverting keto- and enol-groups (GO:0016862)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, interconverting aldoses and ketoses (GO:0016861)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H2B acetyltransferase activity (GO:0044013)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein kinase A regulatory subunit binding (GO:0034237)	26	0	.02	-	 < 0.01	1.00E00	1.00E00
protein kinase A catalytic subunit binding (GO:0034236)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
GPI anchor binding (GO:0034235)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
bile acid binding (GO:0032052)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin light chain binding (GO:0032051)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin heavy chain binding (GO:0032050)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
cis-trans isomerase activity (GO:0016859)	43	0	.04	-	 < 0.01	1.00E00	1.00E00
(2R)-hydroxyphenylpyruvate reductase [NAD(P)H] activity (GO:0047995)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
hydroxymethylglutaryl-CoA hydrolase activity (GO:0047994)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity, acting on amino acids and derivatives (GO:0016855)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxylysine kinase activity (GO:0047992)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity (GO:0016854)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H3K14 acetyltransferase activity (GO:0036408)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
template-free RNA nucleotidyltransferase (GO:0098680)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
translation factor activity (GO:0180051)	84	0	.07	-	 < 0.01	1.00E00	1.00E00
arachidonate 8(S)-lipoxygenase activity (GO:0036403)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
proteasome-activating activity (GO:0036402)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
ethanolamine transmembrane transporter activity (GO:0034228)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
ciliary neurotrophic factor receptor activity (GO:0004897)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cytokine receptor activity (GO:0004896)	98	0	.09	-	 < 0.01	1.00E00	1.00E00
GABA-A receptor activity (GO:0004890)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H3K14 deacetylase activity, NAD-dependent (GO:0032041)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxyacid-oxoacid transhydrogenase activity (GO:0047988)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphorus-oxygen lyase activity (GO:0016849)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
carbon-sulfur lyase activity (GO:0016846)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
homocysteine desulfhydrase activity (GO:0047982)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amidine-lyase activity (GO:0016842)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ammonia-lyase activity (GO:0016841)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
carbon-nitrogen lyase activity (GO:0016840)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:GlcN-acyl-PI alpha-1,4-mannosyltransferase activity (GO:0180041)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transmembrane signaling receptor activity (GO:0004888)	1326	0	1.16	-	 < 0.01	6.26E-01	1.00E00
protein N-acetyltransferase activity (GO:0034212)	52	0	.05	-	 < 0.01	1.00E00	1.00E00
myosin II heavy chain binding (GO:0032038)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP-dependent protein kinase activity (GO:0034211)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin heavy chain binding (GO:0032036)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear glucocorticoid receptor activity (GO:0004883)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin II head/neck binding (GO:0032034)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hepoxilin-epoxide hydrolase activity (GO:0047977)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
carbon-oxygen lyase activity, acting on phosphates (GO:0016838)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
guanosine phosphorylase activity (GO:0047975)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
guanidinopropionase activity (GO:0047972)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
guanidinobutyrase activity (GO:0047971)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxo-acid-lyase activity (GO:0016833)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
aldehyde-lyase activity (GO:0016832)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
carboxy-lyase activity (GO:0016831)	35	0	.03	-	 < 0.01	1.00E00	1.00E00
carbon-carbon lyase activity (GO:0016830)	52	0	.05	-	 < 0.01	1.00E00	1.00E00
inositol phosphate kinase activity (GO:0180030)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear receptor activity (GO:0004879)	59	0	.05	-	 < 0.01	1.00E00	1.00E00
complement component C5a receptor activity (GO:0004878)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
complement component C3b receptor activity (GO:0004877)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin tail binding (GO:0032029)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycolipid floppase activity (GO:0034202)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
complement component C3a receptor activity (GO:0004876)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin head/neck binding (GO:0032028)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
complement receptor activity (GO:0004875)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin light chain binding (GO:0032027)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
asialoglycoprotein receptor activity (GO:0004873)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glyoxylate oxidase activity (GO:0047969)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid sulfur-nitrogen bonds (GO:0016826)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine N-choloyltransferase activity (GO:0047963)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid phosphorus-nitrogen bonds (GO:0016825)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine N-benzoyltransferase activity (GO:0047962)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine N-acyltransferase activity (GO:0047961)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances (GO:0016823)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid carbon-carbon bonds (GO:0016822)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
U6 snRNA 2'-O-ribose methyltransferase activity (GO:0180021)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
membrane bending activity (GO:0180020)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine-type endopeptidase inhibitor activity (GO:0004869)	38	0	.03	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine phosphatase inhibitor activity (GO:0004865)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
protein phosphatase inhibitor activity (GO:0004864)	53	0	.05	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase inhibitor activity (GO:0004862)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein serine/threonine kinase inhibitor activity (GO:0004861)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
protein kinase inhibitor activity (GO:0004860)	93	0	.08	-	 < 0.01	1.00E00	1.00E00
glycine:2-oxoglutarate aminotransferase activity (GO:0047958)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid anhydrides, in sulfonyl-containing anhydrides (GO:0016819)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol dehydrogenase (NADP+) activity (GO:0047956)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)	801	0	.70	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid anhydrides (GO:0016817)	801	0	.70	-	 < 0.01	1.00E00	1.00E00
glycerol-2-phosphatase activity (GO:0047954)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate dehydrogenase [NAD(P)+] activity (GO:0047952)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
K11-linked deubiquitinase activity (GO:0180017)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines (GO:0016814)	33	0	.03	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines (GO:0016813)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)	68	0	.06	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds (GO:0016810)	129	0	.11	-	 < 0.01	1.00E00	1.00E00
cadherin binding involved in cell-cell adhesion (GO:0098641)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
integrin binding involved in cell-matrix adhesion (GO:0098640)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
prosthetic group binding (GO:0051192)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipase inhibitor activity (GO:0004859)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
D-xylulokinase activity (GO:0004856)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
xanthine oxidase activity (GO:0004855)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
xanthine dehydrogenase activity (GO:0004854)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
uroporphyrinogen decarboxylase activity (GO:0004853)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
uroporphyrinogen-III synthase activity (GO:0004852)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-28 receptor binding (GO:0032003)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
uridine phosphorylase activity (GO:0004850)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamine N-acyltransferase activity (GO:0047946)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen binding involved in cell-matrix adhesion (GO:0098639)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine-type carboxypeptidase activity (GO:0016807)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
broad specificity neutral L-amino acid:basic L-amino acid antiporter activity (GO:0180009)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity (GO:0180008)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dipeptidase activity (GO:0016805)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity (GO:0180007)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glucuronolactone reductase activity (GO:0047941)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity (GO:0180006)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ether hydrolase activity (GO:0016803)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
cell-matrix adhesion mediator activity (GO:0098634)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen fibril binding (GO:0098633)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on ether bonds (GO:0016801)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
cell-cell adhesion mediator activity (GO:0098632)	60	0	.05	-	 < 0.01	1.00E00	1.00E00
S-adenosyl-L-methionine:S-adenosyl-L-homocysteine antiporter activity (GO:0180003)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cell adhesion mediator activity (GO:0098631)	89	0	.08	-	 < 0.01	1.00E00	1.00E00
leptin receptor binding (GO:1990460)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase inhibitor activity (GO:0180000)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
uridine kinase activity (GO:0004849)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
mechanoreceptor activity (GO:0140897)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
uracil DNA N-glycosylase activity (GO:0004844)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine-type deubiquitinase activity (GO:0004843)	108	0	.09	-	 < 0.01	1.00E00	1.00E00
neutral amino acid, sodium:proton antiporter activity (GO:0140893)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-protein transferase activity (GO:0004842)	457	0	.40	-	 < 0.01	1.00E00	1.00E00
sodium,bicarbonate:chloride antiporter activity (GO:0140892)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
L-glucuronate reductase activity (GO:0047939)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose 1-dehydrogenase [NAD(P)+] activity (GO:0047936)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transferrin receptor binding (GO:1990459)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
glucose 1-dehydrogenase (NADP+) activity (GO:0047935)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose 1-dehydrogenase (NAD+) activity (GO:0047934)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose-1,6-bisphosphate synthase activity (GO:0047933)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucosamine kinase activity (GO:0047931)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
O-phosphoseryl-tRNA(Sec) selenium transferase activity (GO:0098621)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
linear polyubiquitin binding (GO:1990450)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H2AXS139 kinase activity (GO:0035979)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin activating enzyme activity (GO:0004839)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
L-tyrosine-2-oxoglutarate transaminase activity (GO:0004838)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tubulin-tyrosine ligase activity (GO:0004835)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thyroxine 5-deiodinase activity (GO:0033798)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
tryptophan 2,3-dioxygenase activity (GO:0004833)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
valine-tRNA ligase activity (GO:0004832)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tyrosine-tRNA ligase activity (GO:0004831)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tryptophan-tRNA ligase activity (GO:0004830)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase activity (GO:0033791)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
selenocysteine-tRNA ligase activity (GO:0098619)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
exon-exon junction complex binding (GO:1990448)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
U2 snRNP binding (GO:1990447)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
U1 snRNP binding (GO:1990446)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
F-box domain binding (GO:1990444)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
threonine-tRNA ligase activity (GO:0004829)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
serine-tRNA ligase activity (GO:0004828)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
insulin receptor substrate binding (GO:0043560)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
proline-tRNA ligase activity (GO:0004827)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phenylalanine-tRNA ligase activity (GO:0004826)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
methionine-tRNA ligase activity (GO:0004825)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lysine-tRNA ligase activity (GO:0004824)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
leucine-tRNA ligase activity (GO:0004823)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cyanocobalamin reductase (cyanide-eliminating) (NADP+) activity (GO:0033787)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
isoleucine-tRNA ligase activity (GO:0004822)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histidine-tRNA ligase activity (GO:0004821)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine-tRNA ligase activity (GO:0004820)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase inhibitor activity (GO:0140870)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
25-hydroxycholesterol 7-alpha-hydroxylase activity (GO:0033783)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP-mannose 3,5-epimerase activity (GO:0047918)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
24S-hydroxycholesterol 7-alpha-hydroxylase activity (GO:0033782)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cholesterol 24-hydroxylase activity (GO:0033781)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
MAP kinase serine/threonine phosphatase activity (GO:1990439)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ganglioside galactosyltransferase activity (GO:0047915)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
selenocystathionine gamma-lyase activity (GO:0098606)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
extracellular matrix protein binding (GO:1990430)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
insulin binding (GO:0043559)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine transfer activity (GO:1904121)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamine-tRNA ligase activity (GO:0004819)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamate-tRNA ligase activity (GO:0004818)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine-tRNA ligase activity (GO:0004817)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
asparagine-tRNA ligase activity (GO:0004816)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
aspartate-tRNA ligase activity (GO:0004815)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
arginine-tRNA ligase activity (GO:0004814)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H2AK129 ubiquitin ligase activity (GO:0140864)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
alanine-tRNA ligase activity (GO:0004813)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H2AK127 ubiquitin ligase activity (GO:0140863)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
aminoacyl-tRNA ligase activity (GO:0004812)	41	0	.04	-	 < 0.01	1.00E00	1.00E00
histone H2AK119 ubiquitin ligase activity (GO:0140862)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
CCA tRNA nucleotidyltransferase activity (GO:0004810)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polyubiquitin modification-dependent protein binding (GO:0031593)	59	0	.05	-	 < 0.01	1.00E00	1.00E00
glyoxalase (glycolic acid-forming) activity (GO:1990422)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
17-hydroxyprogesterone 21-hydroxylase activity (GO:0103069)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
leukotriene C4 gamma-glutamyl transferase activity (GO:0103068)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase binding (GO:0043548)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
molybdopterin cofactor binding (GO:0043546)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H2AK15 ubiquitin ligase activity (GO:0140858)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
triose-phosphate isomerase activity (GO:0004807)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3T45 kinase activity (GO:0140857)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
triacylglycerol lipase activity (GO:0004806)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
transposase activity (GO:0004803)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cholesterol-protein transferase activity (GO:0140853)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
transketolase activity (GO:0004802)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
histone ubiquitin ligase activity (GO:0140852)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
transaldolase activity (GO:0004801)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
steroid dehydrogenase activity, acting on the CH-CH group of donors (GO:0033765)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
